id,marca,modelo,plataforma_compra,calificacion,sentimiento,aspecto_principal,comentario
22,Xiaomi,Redmi Note 13,Tienda Oficial Xiaomi,1,Negativo,rendimiento,La batería dura muy poco
23,Samsung,Galaxy A35,Amazon,5,Positivo,batería,Muy buena cámara y excelente rendimiento
24,Huawei,Nova 12,Tienda Oficial Huawei,5,Positivo,pantalla,"Gran relación calidad precio, recomendado"
25,Apple,iPhone 14,Tienda Oficial Apple,5,Positivo,entrega,El servicio fue excelente y recibí el producto rápidamente
26,Apple,iPhone 14,Amazon,1,Negativo,cámara,El rendimiento es lento para algunas aplicaciones
27,Motorola,Moto G84,Tienda Oficial Motorola,4,Positivo,servicio al cliente,El servicio fue excelente y recibí el producto rápidamente
28,Xiaomi,Redmi Note 14,Amazon,4,Positivo,cámara,"Excelente celular, la batería dura todo el día y la entrega fue rápida"
29,Samsung,Galaxy A55,Tienda Oficial Samsung,5,Positivo,rendimiento,"Excelente celular, la batería dura todo el día y la entrega fue rápida"
30,Xiaomi,Redmi Note 14,Tienda Oficial Xiaomi,5,Positivo,servicio al cliente,El servicio fue excelente y recibí el producto rápidamente
31,Huawei,Mate 50,Amazon,4,Positivo,rendimiento,"Excelente celular, la batería dura todo el día y la entrega fue rápida"
32,Motorola,Moto G84,Tienda Oficial Motorola,4,Positivo,pantalla,Muy buena cámara y excelente rendimiento
33,Xiaomi,Redmi Note 13,Amazon,4,Positivo,rendimiento,Muy buena cámara y excelente rendimiento
34,Apple,iPhone 16e,Mercado Libre,3,Neutral,rendimiento,Es un equipo normal para el uso diario
35,Motorola,Moto G84,Tienda Oficial Motorola,5,Positivo,almacenamiento,Superó mis expectativas en rendimiento y batería
36,Samsung,Galaxy A55,Amazon,5,Positivo,rendimiento,Llegó antes de la fecha prometida y en perfectas condiciones
37,Motorola,Moto G84,Mercado Libre,5,Positivo,servicio al cliente,"Excelente celular, la batería dura todo el día y la entrega fue rápida"
38,Huawei,P60,Amazon,3,Neutral,pantalla,La cámara es aceptable para su precio
39,Samsung,Galaxy A55,Amazon,5,Positivo,rendimiento,"Gran relación calidad precio, recomendado"
40,Motorola,Edge 50,Amazon,5,Positivo,entrega,"Excelente celular, la batería dura todo el día y la entrega fue rápida"
41,Samsung,Galaxy S24,Mercado Libre,5,Positivo,servicio al cliente,"Excelente celular, la batería dura todo el día y la entrega fue rápida"
42,Samsung,Galaxy A55,Amazon,4,Positivo,precio,El servicio fue excelente y recibí el producto rápidamente
43,Xiaomi,Redmi Note 13,Tienda Oficial Xiaomi,3,Neutral,batería,La cámara es aceptable para su precio
44,Xiaomi,Poco X6,Tienda Oficial Xiaomi,4,Positivo,entrega,"Gran relación calidad precio, recomendado"
45,Xiaomi,Redmi Note 13,Amazon,5,Positivo,precio,"Gran relación calidad precio, recomendado"
46,Motorola,Moto G84,Amazon,5,Positivo,batería,"Gran relación calidad precio, recomendado"
47,Xiaomi,Redmi Note 14,Tienda Oficial Xiaomi,3,Neutral,rendimiento,Tiene ventajas y desventajas según el uso
48,Samsung,Galaxy A35,Tienda Oficial Samsung,5,Positivo,cámara,Superó mis expectativas en rendimiento y batería
49,Huawei,P60,Mercado Libre,3,Neutral,cámara,La cámara es aceptable para su precio
50,Xiaomi,Poco X6,Mercado Libre,5,Positivo,entrega,Superó mis expectativas en rendimiento y batería
51,Apple,iPhone 16e,Amazon,5,Positivo,rendimiento,"Excelente celular, la batería dura todo el día y la entrega fue rápida"
52,Apple,iPhone 15,Amazon,5,Positivo,cámara,Superó mis expectativas en rendimiento y batería
53,Samsung,Galaxy A35,Mercado Libre,2,Negativo,precio,Presentó fallas después de pocos días
54,Huawei,Nova 12,Tienda Oficial Huawei,1,Negativo,entrega,Presentó fallas después de pocos días
55,Apple,iPhone 16e,Mercado Libre,5,Positivo,entrega,Muy satisfecho con la compra y el tiempo de entrega
56,Apple,iPhone 14,Mercado Libre,1,Negativo,pantalla,Presentó fallas después de pocos días
57,Huawei,Mate 50,Mercado Libre,5,Positivo,rendimiento,"Gran relación calidad precio, recomendado"
58,Xiaomi,Redmi Note 13,Tienda Oficial Xiaomi,4,Positivo,servicio al cliente,Muy satisfecho con la compra y el tiempo de entrega
59,Apple,iPhone 16e,Mercado Libre,4,Positivo,rendimiento,"Excelente celular, la batería dura todo el día y la entrega fue rápida"
60,Samsung,Galaxy S24,Tienda Oficial Samsung,3,Neutral,servicio al cliente,El celular cumple con lo esperado
61,Huawei,Nova 12,Amazon,5,Positivo,servicio al cliente,Muy satisfecho con la compra y el tiempo de entrega
62,Huawei,Mate 50,Mercado Libre,3,Neutral,servicio al cliente,Tiene ventajas y desventajas según el uso
63,Apple,iPhone 14,Tienda Oficial Apple,5,Positivo,almacenamiento,"Gran relación calidad precio, recomendado"
64,Motorola,Moto G54,Tienda Oficial Motorola,5,Positivo,almacenamiento,Superó mis expectativas en rendimiento y batería
65,Huawei,Nova 12,Tienda Oficial Huawei,4,Positivo,pantalla,Muy buena cámara y excelente rendimiento
66,Apple,iPhone 14,Tienda Oficial Apple,4,Positivo,batería,El servicio fue excelente y recibí el producto rápidamente
67,Apple,iPhone 16e,Amazon,3,Neutral,entrega,La batería tiene un rendimiento promedio
68,Samsung,Galaxy S24,Tienda Oficial Samsung,4,Positivo,entrega,Muy satisfecho con la compra y el tiempo de entrega
69,Xiaomi,Redmi Note 14,Amazon,4,Positivo,entrega,Muy satisfecho con la compra y el tiempo de entrega
70,Xiaomi,Poco X6,Mercado Libre,1,Negativo,batería,El rendimiento es lento para algunas aplicaciones
71,Xiaomi,Redmi Note 14,Tienda Oficial Xiaomi,4,Positivo,precio,Muy satisfecho con la compra y el tiempo de entrega
72,Motorola,Moto G54,Mercado Libre,5,Positivo,entrega,Muy buena cámara y excelente rendimiento
73,Apple,iPhone 15,Amazon,3,Neutral,precio,Tiene ventajas y desventajas según el uso
74,Samsung,Galaxy A35,Tienda Oficial Samsung,4,Positivo,rendimiento,"Excelente celular, la batería dura todo el día y la entrega fue rápida"
75,Huawei,Nova 12,Tienda Oficial Huawei,4,Positivo,cámara,Muy satisfecho con la compra y el tiempo de entrega
76,Motorola,Moto G54,Tienda Oficial Motorola,1,Negativo,cámara,Presentó fallas después de pocos días
77,Samsung,Galaxy A35,Tienda Oficial Samsung,5,Positivo,entrega,"Gran relación calidad precio, recomendado"
78,Samsung,Galaxy A35,Amazon,4,Positivo,almacenamiento,"Excelente celular, la batería dura todo el día y la entrega fue rápida"
79,Motorola,Edge 50,Mercado Libre,4,Positivo,precio,El servicio fue excelente y recibí el producto rápidamente
80,Apple,iPhone 15,Mercado Libre,1,Negativo,servicio al cliente,El rendimiento es lento para algunas aplicaciones
81,Xiaomi,Poco X6,Mercado Libre,2,Negativo,servicio al cliente,El rendimiento es lento para algunas aplicaciones
82,Huawei,P60,Tienda Oficial Huawei,5,Positivo,cámara,Muy satisfecho con la compra y el tiempo de entrega
83,Xiaomi,Redmi Note 14,Mercado Libre,5,Positivo,servicio al cliente,Llegó antes de la fecha prometida y en perfectas condiciones
84,Apple,iPhone 15,Tienda Oficial Apple,5,Positivo,almacenamiento,"Excelente celular, la batería dura todo el día y la entrega fue rápida"
85,Huawei,Nova 12,Tienda Oficial Huawei,1,Negativo,servicio al cliente,La atención al cliente fue deficiente y la entrega tardó mucho
86,Apple,iPhone 14,Amazon,4,Positivo,entrega,La pantalla tiene muy buena calidad y la entrega fue puntual
87,Huawei,P60,Mercado Libre,5,Positivo,precio,Muy satisfecho con la compra y el tiempo de entrega
88,Motorola,Moto G54,Tienda Oficial Motorola,5,Positivo,rendimiento,Muy buena cámara y excelente rendimiento
89,Huawei,Mate 50,Tienda Oficial Huawei,5,Positivo,servicio al cliente,La pantalla tiene muy buena calidad y la entrega fue puntual
90,Samsung,Galaxy A55,Tienda Oficial Samsung,4,Positivo,almacenamiento,Llegó antes de la fecha prometida y en perfectas condiciones
91,Motorola,Moto G84,Mercado Libre,2,Negativo,pantalla,La entrega se demoró demasiado y llegó fuera de la fecha prometida
92,Samsung,Galaxy A35,Tienda Oficial Samsung,4,Positivo,precio,"Excelente celular, la batería dura todo el día y la entrega fue rápida"
93,Motorola,Moto G54,Tienda Oficial Motorola,4,Positivo,servicio al cliente,"Excelente celular, la batería dura todo el día y la entrega fue rápida"
94,Xiaomi,Redmi Note 13,Mercado Libre,4,Positivo,rendimiento,El servicio fue excelente y recibí el producto rápidamente
95,Huawei,Mate 50,Amazon,2,Negativo,entrega,La atención al cliente fue deficiente y la entrega tardó mucho
96,Motorola,Edge 50,Mercado Libre,1,Negativo,batería,El equipo se calienta demasiado durante el uso
97,Xiaomi,Redmi Note 14,Amazon,4,Positivo,cámara,"Excelente celular, la batería dura todo el día y la entrega fue rápida"
98,Apple,iPhone 14,Mercado Libre,5,Positivo,rendimiento,La pantalla tiene muy buena calidad y la entrega fue puntual
99,Apple,iPhone 15,Mercado Libre,2,Negativo,rendimiento,La entrega se demoró demasiado y llegó fuera de la fecha prometida
100,Huawei,Nova 12,Mercado Libre,3,Neutral,cámara,El celular cumple con lo esperado
101,Xiaomi,Redmi Note 14,Mercado Libre,5,Positivo,servicio al cliente,El servicio fue excelente y recibí el producto rápidamente
102,Motorola,Edge 50,Mercado Libre,5,Positivo,batería,Superó mis expectativas en rendimiento y batería
103,Huawei,P60,Tienda Oficial Huawei,5,Positivo,batería,"Excelente celular, la batería dura todo el día y la entrega fue rápida"
104,Xiaomi,Redmi Note 14,Mercado Libre,3,Neutral,pantalla,El producto llegó correctamente aunque tardó algunos días
105,Apple,iPhone 16e,Amazon,5,Positivo,entrega,Superó mis expectativas en rendimiento y batería
106,Samsung,Galaxy A55,Tienda Oficial Samsung,2,Negativo,almacenamiento,La batería dura muy poco
107,Apple,iPhone 15,Tienda Oficial Apple,4,Positivo,entrega,Muy satisfecho con la compra y el tiempo de entrega
108,Apple,iPhone 15,Tienda Oficial Apple,5,Positivo,servicio al cliente,"Excelente celular, la batería dura todo el día y la entrega fue rápida"
109,Xiaomi,Redmi Note 14,Mercado Libre,4,Positivo,servicio al cliente,"Excelente celular, la batería dura todo el día y la entrega fue rápida"
110,Huawei,Nova 12,Mercado Libre,1,Negativo,entrega,El equipo se calienta demasiado durante el uso
111,Samsung,Galaxy S24,Amazon,5,Positivo,almacenamiento,El servicio fue excelente y recibí el producto rápidamente
112,Apple,iPhone 14,Tienda Oficial Apple,1,Negativo,entrega,La cámara no cumple con lo prometido
113,Samsung,Galaxy S24,Mercado Libre,4,Positivo,almacenamiento,La pantalla tiene muy buena calidad y la entrega fue puntual
114,Motorola,Edge 50,Mercado Libre,3,Neutral,servicio al cliente,El producto llegó correctamente aunque tardó algunos días
115,Apple,iPhone 14,Tienda Oficial Apple,2,Negativo,entrega,Mala relación calidad precio
116,Xiaomi,Poco X6,Tienda Oficial Xiaomi,4,Positivo,entrega,Superó mis expectativas en rendimiento y batería
117,Apple,iPhone 16e,Mercado Libre,5,Positivo,pantalla,"Excelente celular, la batería dura todo el día y la entrega fue rápida"
118,Xiaomi,Poco X6,Mercado Libre,3,Neutral,servicio al cliente,El celular cumple con lo esperado
119,Huawei,P60,Tienda Oficial Huawei,4,Positivo,pantalla,Muy satisfecho con la compra y el tiempo de entrega
120,Motorola,Moto G54,Mercado Libre,2,Negativo,precio,Mala relación calidad precio
121,Apple,iPhone 16e,Tienda Oficial Apple,4,Positivo,almacenamiento,Muy buena cámara y excelente rendimiento
122,Apple,iPhone 15,Amazon,4,Positivo,almacenamiento,"Excelente celular, la batería dura todo el día y la entrega fue rápida"
123,Motorola,Moto G84,Tienda Oficial Motorola,4,Positivo,pantalla,El servicio fue excelente y recibí el producto rápidamente
124,Huawei,Mate 50,Amazon,4,Positivo,entrega,Muy satisfecho con la compra y el tiempo de entrega
125,Huawei,Nova 12,Tienda Oficial Huawei,2,Negativo,servicio al cliente,La batería dura muy poco
126,Apple,iPhone 14,Amazon,5,Positivo,precio,El servicio fue excelente y recibí el producto rápidamente
127,Motorola,Moto G54,Amazon,3,Neutral,servicio al cliente,El celular cumple con lo esperado
128,Xiaomi,Redmi Note 14,Mercado Libre,3,Neutral,almacenamiento,El celular cumple con lo esperado
129,Apple,iPhone 14,Tienda Oficial Apple,3,Neutral,batería,El producto llegó correctamente aunque tardó algunos días
130,Apple,iPhone 14,Amazon,1,Negativo,precio,El equipo se calienta demasiado durante el uso
131,Huawei,P60,Amazon,2,Negativo,batería,La atención al cliente fue deficiente y la entrega tardó mucho
132,Samsung,Galaxy A35,Tienda Oficial Samsung,5,Positivo,almacenamiento,El servicio fue excelente y recibí el producto rápidamente
133,Xiaomi,Redmi Note 13,Tienda Oficial Xiaomi,5,Positivo,precio,Llegó antes de la fecha prometida y en perfectas condiciones
134,Motorola,Moto G54,Mercado Libre,1,Negativo,precio,La atención al cliente fue deficiente y la entrega tardó mucho
135,Samsung,Galaxy A55,Amazon,3,Neutral,entrega,El producto llegó correctamente aunque tardó algunos días
136,Motorola,Moto G84,Amazon,5,Positivo,cámara,Superó mis expectativas en rendimiento y batería
137,Motorola,Edge 50,Tienda Oficial Motorola,1,Negativo,precio,El equipo se calienta demasiado durante el uso
138,Apple,iPhone 15,Mercado Libre,3,Neutral,rendimiento,Es un equipo normal para el uso diario
139,Samsung,Galaxy A35,Mercado Libre,1,Negativo,cámara,La batería dura muy poco
140,Samsung,Galaxy S24,Amazon,5,Positivo,pantalla,Muy satisfecho con la compra y el tiempo de entrega
141,Motorola,Edge 50,Mercado Libre,2,Negativo,pantalla,La entrega se demoró demasiado y llegó fuera de la fecha prometida
142,Apple,iPhone 16e,Mercado Libre,4,Positivo,precio,Muy satisfecho con la compra y el tiempo de entrega
143,Apple,iPhone 15,Amazon,3,Neutral,precio,El producto llegó correctamente aunque tardó algunos días
144,Motorola,Moto G84,Tienda Oficial Motorola,5,Positivo,cámara,Muy buena cámara y excelente rendimiento
145,Xiaomi,Poco X6,Amazon,4,Positivo,precio,Llegó antes de la fecha prometida y en perfectas condiciones
146,Huawei,Nova 12,Tienda Oficial Huawei,1,Negativo,rendimiento,El equipo se calienta demasiado durante el uso
147,Motorola,Moto G84,Amazon,4,Positivo,pantalla,La pantalla tiene muy buena calidad y la entrega fue puntual
148,Xiaomi,Redmi Note 13,Amazon,4,Positivo,precio,Superó mis expectativas en rendimiento y batería
149,Samsung,Galaxy A55,Tienda Oficial Samsung,4,Positivo,entrega,Muy buena cámara y excelente rendimiento
150,Apple,iPhone 14,Amazon,4,Positivo,rendimiento,La pantalla tiene muy buena calidad y la entrega fue puntual
151,Apple,iPhone 16e,Amazon,3,Neutral,entrega,La batería tiene un rendimiento promedio
152,Samsung,Galaxy S24,Mercado Libre,5,Positivo,cámara,Llegó antes de la fecha prometida y en perfectas condiciones
153,Samsung,Galaxy A55,Tienda Oficial Samsung,2,Negativo,precio,Presentó fallas después de pocos días
154,Apple,iPhone 16e,Amazon,1,Negativo,cámara,El rendimiento es lento para algunas aplicaciones
155,Apple,iPhone 15,Mercado Libre,5,Positivo,cámara,El servicio fue excelente y recibí el producto rápidamente
156,Motorola,Edge 50,Tienda Oficial Motorola,3,Neutral,servicio al cliente,El celular cumple con lo esperado
157,Samsung,Galaxy A55,Tienda Oficial Samsung,4,Positivo,precio,"Excelente celular, la batería dura todo el día y la entrega fue rápida"
158,Huawei,Mate 50,Amazon,4,Positivo,entrega,La pantalla tiene muy buena calidad y la entrega fue puntual
159,Huawei,P60,Tienda Oficial Huawei,1,Negativo,rendimiento,La atención al cliente fue deficiente y la entrega tardó mucho
160,Xiaomi,Redmi Note 13,Tienda Oficial Xiaomi,2,Negativo,cámara,El equipo se calienta demasiado durante el uso
161,Apple,iPhone 16e,Amazon,1,Negativo,almacenamiento,La cámara no cumple con lo prometido
162,Motorola,Edge 50,Mercado Libre,4,Positivo,pantalla,El servicio fue excelente y recibí el producto rápidamente
163,Samsung,Galaxy A55,Amazon,5,Positivo,rendimiento,El servicio fue excelente y recibí el producto rápidamente
164,Apple,iPhone 14,Tienda Oficial Apple,4,Positivo,precio,"Excelente celular, la batería dura todo el día y la entrega fue rápida"
165,Xiaomi,Redmi Note 13,Amazon,2,Negativo,almacenamiento,El rendimiento es lento para algunas aplicaciones
166,Apple,iPhone 16e,Mercado Libre,5,Positivo,cámara,El servicio fue excelente y recibí el producto rápidamente
167,Samsung,Galaxy S24,Mercado Libre,4,Positivo,almacenamiento,"Gran relación calidad precio, recomendado"
168,Apple,iPhone 16e,Tienda Oficial Apple,4,Positivo,rendimiento,La pantalla tiene muy buena calidad y la entrega fue puntual
169,Motorola,Moto G54,Tienda Oficial Motorola,4,Positivo,entrega,Llegó antes de la fecha prometida y en perfectas condiciones
170,Apple,iPhone 16e,Mercado Libre,5,Positivo,batería,"Excelente celular, la batería dura todo el día y la entrega fue rápida"
171,Apple,iPhone 15,Mercado Libre,2,Negativo,entrega,La entrega se demoró demasiado y llegó fuera de la fecha prometida
172,Apple,iPhone 15,Amazon,3,Neutral,servicio al cliente,Es un equipo normal para el uso diario
173,Motorola,Moto G84,Amazon,4,Positivo,entrega,El servicio fue excelente y recibí el producto rápidamente
174,Motorola,Edge 50,Tienda Oficial Motorola,4,Positivo,pantalla,Muy buena cámara y excelente rendimiento
175,Huawei,Mate 50,Tienda Oficial Huawei,1,Negativo,precio,El equipo se calienta demasiado durante el uso
176,Samsung,Galaxy A55,Tienda Oficial Samsung,4,Positivo,pantalla,Llegó antes de la fecha prometida y en perfectas condiciones
177,Apple,iPhone 14,Mercado Libre,2,Negativo,precio,La cámara no cumple con lo prometido
178,Apple,iPhone 15,Mercado Libre,2,Negativo,batería,La entrega se demoró demasiado y llegó fuera de la fecha prometida
179,Motorola,Moto G54,Amazon,4,Positivo,almacenamiento,Muy buena cámara y excelente rendimiento
180,Huawei,Mate 50,Mercado Libre,2,Negativo,batería,El equipo se calienta demasiado durante el uso
181,Motorola,Edge 50,Amazon,3,Neutral,servicio al cliente,El celular cumple con lo esperado
182,Motorola,Edge 50,Tienda Oficial Motorola,1,Negativo,batería,La atención al cliente fue deficiente y la entrega tardó mucho
183,Apple,iPhone 16e,Amazon,5,Positivo,almacenamiento,El servicio fue excelente y recibí el producto rápidamente
184,Motorola,Edge 50,Mercado Libre,5,Positivo,cámara,La pantalla tiene muy buena calidad y la entrega fue puntual
185,Motorola,Edge 50,Amazon,5,Positivo,pantalla,La pantalla tiene muy buena calidad y la entrega fue puntual
186,Apple,iPhone 15,Amazon,5,Positivo,entrega,Llegó antes de la fecha prometida y en perfectas condiciones
187,Huawei,Nova 12,Mercado Libre,5,Positivo,batería,La pantalla tiene muy buena calidad y la entrega fue puntual
188,Xiaomi,Redmi Note 13,Tienda Oficial Xiaomi,1,Negativo,rendimiento,La cámara no cumple con lo prometido
189,Xiaomi,Redmi Note 13,Tienda Oficial Xiaomi,2,Negativo,batería,La cámara no cumple con lo prometido
190,Huawei,P60,Tienda Oficial Huawei,5,Positivo,pantalla,"Excelente celular, la batería dura todo el día y la entrega fue rápida"
191,Apple,iPhone 14,Amazon,3,Neutral,almacenamiento,Es un equipo normal para el uso diario
192,Apple,iPhone 15,Mercado Libre,3,Neutral,servicio al cliente,Tiene ventajas y desventajas según el uso
193,Motorola,Edge 50,Mercado Libre,5,Positivo,almacenamiento,El servicio fue excelente y recibí el producto rápidamente
194,Xiaomi,Redmi Note 13,Amazon,3,Neutral,batería,Es un equipo normal para el uso diario
195,Apple,iPhone 14,Amazon,2,Negativo,cámara,La entrega se demoró demasiado y llegó fuera de la fecha prometida
196,Xiaomi,Redmi Note 14,Amazon,3,Neutral,cámara,Tiene ventajas y desventajas según el uso
197,Apple,iPhone 14,Mercado Libre,4,Positivo,precio,El servicio fue excelente y recibí el producto rápidamente
198,Samsung,Galaxy S24,Tienda Oficial Samsung,5,Positivo,cámara,Llegó antes de la fecha prometida y en perfectas condiciones
199,Xiaomi,Redmi Note 13,Tienda Oficial Xiaomi,3,Neutral,pantalla,Es un equipo normal para el uso diario
200,Apple,iPhone 14,Amazon,4,Positivo,rendimiento,El servicio fue excelente y recibí el producto rápidamente
201,Samsung,Galaxy S24,Tienda Oficial Samsung,5,Positivo,rendimiento,Muy satisfecho con la compra y el tiempo de entrega
202,Samsung,Galaxy A55,Mercado Libre,1,Negativo,batería,La cámara no cumple con lo prometido
203,Motorola,Moto G54,Tienda Oficial Motorola,4,Positivo,entrega,Muy buena cámara y excelente rendimiento
204,Huawei,P60,Tienda Oficial Huawei,5,Positivo,batería,Muy satisfecho con la compra y el tiempo de entrega
205,Samsung,Galaxy A35,Tienda Oficial Samsung,5,Positivo,batería,Muy buena cámara y excelente rendimiento
206,Motorola,Moto G84,Amazon,1,Negativo,precio,La batería dura muy poco
207,Motorola,Edge 50,Tienda Oficial Motorola,2,Negativo,servicio al cliente,La cámara no cumple con lo prometido
208,Xiaomi,Redmi Note 13,Mercado Libre,4,Positivo,rendimiento,"Gran relación calidad precio, recomendado"
209,Samsung,Galaxy S24,Mercado Libre,3,Neutral,servicio al cliente,La cámara es aceptable para su precio
210,Samsung,Galaxy A35,Tienda Oficial Samsung,5,Positivo,batería,La pantalla tiene muy buena calidad y la entrega fue puntual
211,Samsung,Galaxy S24,Mercado Libre,2,Negativo,entrega,La cámara no cumple con lo prometido
212,Apple,iPhone 16e,Mercado Libre,3,Neutral,entrega,El celular cumple con lo esperado
213,Apple,iPhone 16e,Amazon,4,Positivo,precio,Muy buena cámara y excelente rendimiento
214,Motorola,Edge 50,Tienda Oficial Motorola,4,Positivo,entrega,Muy satisfecho con la compra y el tiempo de entrega
215,Motorola,Moto G54,Tienda Oficial Motorola,3,Neutral,precio,El producto llegó correctamente aunque tardó algunos días
216,Apple,iPhone 14,Amazon,5,Positivo,entrega,Llegó antes de la fecha prometida y en perfectas condiciones
217,Samsung,Galaxy A55,Mercado Libre,4,Positivo,cámara,Superó mis expectativas en rendimiento y batería
218,Motorola,Moto G54,Amazon,2,Negativo,servicio al cliente,Mala relación calidad precio
219,Apple,iPhone 15,Mercado Libre,4,Positivo,almacenamiento,Muy buena cámara y excelente rendimiento
220,Samsung,Galaxy A35,Tienda Oficial Samsung,5,Positivo,cámara,La pantalla tiene muy buena calidad y la entrega fue puntual
221,Apple,iPhone 15,Mercado Libre,1,Negativo,servicio al cliente,La entrega se demoró demasiado y llegó fuera de la fecha prometida
222,Xiaomi,Redmi Note 13,Mercado Libre,3,Neutral,precio,Es un equipo normal para el uso diario
223,Motorola,Edge 50,Tienda Oficial Motorola,4,Positivo,almacenamiento,Llegó antes de la fecha prometida y en perfectas condiciones
224,Motorola,Edge 50,Tienda Oficial Motorola,3,Neutral,pantalla,Tiene ventajas y desventajas según el uso
225,Apple,iPhone 15,Tienda Oficial Apple,1,Negativo,servicio al cliente,La entrega se demoró demasiado y llegó fuera de la fecha prometida
226,Samsung,Galaxy S24,Tienda Oficial Samsung,2,Negativo,servicio al cliente,El rendimiento es lento para algunas aplicaciones
227,Huawei,Nova 12,Tienda Oficial Huawei,5,Positivo,cámara,Muy satisfecho con la compra y el tiempo de entrega
228,Huawei,P60,Tienda Oficial Huawei,3,Neutral,pantalla,Tiene ventajas y desventajas según el uso
229,Apple,iPhone 16e,Amazon,3,Neutral,pantalla,La cámara es aceptable para su precio
230,Xiaomi,Redmi Note 13,Tienda Oficial Xiaomi,2,Negativo,precio,La entrega se demoró demasiado y llegó fuera de la fecha prometida
231,Motorola,Moto G84,Mercado Libre,4,Positivo,almacenamiento,Llegó antes de la fecha prometida y en perfectas condiciones
232,Huawei,Mate 50,Tienda Oficial Huawei,1,Negativo,precio,La batería dura muy poco
233,Samsung,Galaxy A55,Mercado Libre,1,Negativo,entrega,La atención al cliente fue deficiente y la entrega tardó mucho
234,Huawei,P60,Mercado Libre,5,Positivo,entrega,Muy satisfecho con la compra y el tiempo de entrega
235,Samsung,Galaxy A35,Tienda Oficial Samsung,5,Positivo,servicio al cliente,"Gran relación calidad precio, recomendado"
236,Motorola,Edge 50,Tienda Oficial Motorola,3,Neutral,precio,Es un equipo normal para el uso diario
237,Motorola,Moto G54,Tienda Oficial Motorola,5,Positivo,cámara,"Gran relación calidad precio, recomendado"
238,Apple,iPhone 15,Tienda Oficial Apple,4,Positivo,cámara,La pantalla tiene muy buena calidad y la entrega fue puntual
239,Apple,iPhone 16e,Amazon,3,Neutral,precio,Tiene ventajas y desventajas según el uso
240,Xiaomi,Redmi Note 14,Mercado Libre,5,Positivo,almacenamiento,"Excelente celular, la batería dura todo el día y la entrega fue rápida"
241,Samsung,Galaxy S24,Amazon,4,Positivo,precio,"Excelente celular, la batería dura todo el día y la entrega fue rápida"
242,Motorola,Moto G54,Mercado Libre,4,Positivo,batería,El servicio fue excelente y recibí el producto rápidamente
243,Xiaomi,Redmi Note 14,Mercado Libre,4,Positivo,entrega,"Gran relación calidad precio, recomendado"
244,Motorola,Edge 50,Tienda Oficial Motorola,5,Positivo,servicio al cliente,Muy buena cámara y excelente rendimiento
245,Xiaomi,Redmi Note 13,Tienda Oficial Xiaomi,2,Negativo,precio,La cámara no cumple con lo prometido
246,Xiaomi,Poco X6,Amazon,5,Positivo,pantalla,Muy satisfecho con la compra y el tiempo de entrega
247,Huawei,P60,Tienda Oficial Huawei,3,Neutral,pantalla,La cámara es aceptable para su precio
248,Huawei,P60,Tienda Oficial Huawei,3,Neutral,almacenamiento,El producto llegó correctamente aunque tardó algunos días
